"HGNC symbol","Aliases","Common name","Description","Cytogenetic Location","OMIM","Ensembl","UniProt/Swiss-Prot","Entrez Gene","UniGene"
"ALDH2","ALDM; ALDHI; ALDH-E2","aldehyde dehydrogenase 2 family (mitochondrial)","This protein belongs to the aldehyde dehydrogenase family of proteins. Aldehyde dehydrogenase is the second enzyme of the major oxidative pathway of alcohol metabolism. Two major liver isoforms of aldehyde dehydrogenase, cytosolic and mitochondrial, can be distinguished by their electrophoretic mobilities, kinetic properties, and subcellular localizations. Most Caucasians have two major isozymes, while approximately 50% of East Asians have the cytosolic isozyme but not the mitochondrial isozyme. A remarkably higher frequency of acute alcohol intoxication among East Asians than among Caucasians could be related to the absence of a catalytically active form of the mitochondrial isozyme. The increased exposure to acetaldehyde in individuals with the catalytically inactive form may also confer greater susceptibility to many types of cancer. This gene encodes a mitochondrial isoform, which has a low Km for acetaldehydes, and is localized in mitochondrial matrix. Alternative splicing results in multiple transcript variants encoding distinct isoforms.[provided by RefSeq, Nov 2016]","12q24.12","100650","ENSG00000111275","ALDH2_HUMAN","217","604551"
"ALPK1","LAK; 8430410J10Rik","alpha kinase 1","This gene encodes an alpha kinase. Mice which were homozygous for disrupted copies of this gene exhibited coordination defects (PMID: 21208416). Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2011]","4q25","607347","ENSG00000073331","ALPK1_HUMAN","80216","652825"
"ANGEL1","Ccr4e; KIAA0759","angel homolog 1","","14q24.3","","ENSG00000013523","A0A024R6B2_HUMAN","23357","497448"
"ANK2","LQT4; ANK-2; brank-2","ankyrin 2","This gene encodes a member of the ankyrin family of proteins that link the integral membrane proteins to the underlying spectrin-actin cytoskeleton. Ankyrins play key roles in activities such as cell motility, activation, proliferation, contact and the maintenance of specialized membrane domains. Most ankyrins are typically composed of three structural domains: an amino-terminal domain containing multiple ankyrin repeats; a central region with a highly conserved spectrin binding domain; and a carboxy-terminal regulatory domain which is the least conserved and subject to variation. The protein encoded by this gene is required for targeting and stability of Na/Ca exchanger 1 in cardiomyocytes. Mutations in this gene cause long QT syndrome 4 and cardiac arrhythmia syndrome. Multiple transcript variants encoding different isoforms have been described. [provided by RefSeq, Dec 2011]","4q25-q26","106410","ENSG00000145362","A0A024RDI4_HUMAN","287","620557"
"ANKK1","PKK2","ankyrin repeat and kinase domain containing 1","The protein encoded by this gene belongs to the Ser/Thr protein kinase family, and protein kinase superfamily involved in signal transduction pathways. This gene is closely linked to DRD2 gene (GeneID:1813) on chr 11, and a well studied restriction fragment length polymorphism (RFLP) designated TaqIA, was originally associated with the DRD2 gene, however, later was determined to be located in exon 8 of ANKK1 gene (PMIDs: 18621654, 15146457), where it causes a nonconservative amino acid substitution. It is not clear if this gene plays any role in neuropsychiatric disorders previously associated with Taq1A RFLP. [provided by RefSeq, Sep 2009]","11q23.2","608774","ENSG00000170209","ANKK1_HUMAN","255239","448473"
"ANKRD19P","ANKRD19; bA526D8.2","ankyrin repeat domain 19, pseudogene","","9q22.31","","ENSG00000187984","","138649","643597"
"ANKRD24","","ankyrin repeat domain 24","","19p13.3","","ENSG00000089847","ANR24_HUMAN","170961","197872"
"ANKRD55","","ankyrin repeat domain 55","","5q11.2","615189","ENSG00000164512","ANR55_HUMAN","79722","436214"
"ANKUB1","C3orf16","ankyrin repeat and ubiquitin domain containing 1","","3q25.1","","ENSG00000206199","ANKUB_HUMAN","389161","665988"
"AOX1","AO; AOH1","aldehyde oxidase 1","Aldehyde oxidase produces hydrogen peroxide and, under certain conditions, can catalyze the formation of superoxide. Aldehyde oxidase is a candidate gene for amyotrophic lateral sclerosis. [provided by RefSeq, Jul 2008]","2q33.1","602841","ENSG00000138356","AOXA_HUMAN","316","406238"
"APBB2","FE65L; FE65L1","amyloid beta precursor protein binding family B member 2","The protein encoded by this gene interacts with the cytoplasmic domains of amyloid beta (A4) precursor protein and amyloid beta (A4) precursor-like protein 2. This protein contains two phosphotyrosine binding (PTB) domains, which are thought to function in signal transduction. Polymorphisms in this gene have been associated with Alzheimer's disease. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2009]","4p14-p13","602710","ENSG00000163697","APBB2_HUMAN","323","479602"
"APEX1","APE; APX; APE1; APEN; APEX; HAP1; REF1","apurinic/apyrimidinic endodeoxyribonuclease 1","Apurinic/apyrimidinic (AP) sites occur frequently in DNA molecules by spontaneous hydrolysis, by DNA damaging agents or by DNA glycosylases that remove specific abnormal bases. AP sites are pre-mutagenic lesions that can prevent normal DNA replication so the cell contains systems to identify and repair such sites. Class II AP endonucleases cleave the phosphodiester backbone 5' to the AP site. This gene encodes the major AP endonuclease in human cells. Splice variants have been found for this gene; all encode the same protein. [provided by RefSeq, Jul 2008]","14q11.2","107748","ENSG00000100823","APEX1_HUMAN","328","73722"
"APOA1","apo(a)","apolipoprotein A1","This gene encodes apolipoprotein A-I, which is the major protein component of high density lipoprotein (HDL) in plasma. The encoded preproprotein is proteolytically processed to generate the mature protein, which promotes cholesterol efflux from tissues to the liver for excretion, and is a cofactor for lecithin cholesterolacyltransferase (LCAT), an enzyme responsible for the formation of most plasma cholesteryl esters. This gene is closely linked with two other apolipoprotein genes on chromosome 11. Defects in this gene are associated with HDL deficiencies, including Tangier disease, and with systemic non-neuropathic amyloidosis. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein. [provided by RefSeq, Dec 2015]","11q23.3","107680","ENSG00000118137","A0A024R3E3_HUMAN","335","93194"
"APOA4","","apolipoprotein A4","Apoliprotein (apo) A-IV gene contains 3 exons separated by two introns. A sequence polymorphism has been identified in the 3'UTR of the third exon.  The primary translation product is a 396-residue preprotein which after proteolytic processing is secreted its primary site of synthesis, the intestine, in association with chylomicron particles.  Although its precise function is not known, apo A-IV is a potent activator of lecithin-cholesterol acyltransferase in vitro. [provided by RefSeq, Jul 2008]","11q23.3","107690","ENSG00000110244","","337","1247"
"APOB","FLDB; LDLCQ4; apoB-48; apoB-100","apolipoprotein B","This gene product is the main apolipoprotein of chylomicrons and low density lipoproteins. It occurs in plasma as two main isoforms, apoB-48 and apoB-100: the former is synthesized exclusively in the gut and the latter in the liver. The intestinal and the hepatic forms of apoB are encoded by a single gene from a single, very long mRNA. The two isoforms share a common N-terminal sequence. The shorter apoB-48 protein is produced after RNA editing of the apoB-100 transcript at residue 2180 (CAA->UAA), resulting in the creation of a stop codon, and early translation termination. Mutations in this gene or its regulatory region cause hypobetalipoproteinemia, normotriglyceridemic hypobetalipoproteinemia, and hypercholesterolemia due to ligand-defective apoB, diseases affecting plasma cholesterol and apoB levels. [provided by RefSeq, Jul 2008]","2p24.1","107730","ENSG00000084674","APOB_HUMAN","338","120759"
"APOC1","Apo-CI; ApoC-I; apo-CIB; apoC-IB","apolipoprotein C1","This gene encodes a member of the apolipoprotein C1 family. This gene is expressed primarily in the liver, and it is activated when monocytes differentiate into macrophages. The encoded protein plays a central role in high density lipoprotein (HDL) and very low density lipoprotein (VLDL) metabolism. This protein has also been shown to inhibit cholesteryl ester transfer protein in plasma. A pseudogene of this gene is located 4 kb downstream in the same orientation, on the same chromosome. This gene is mapped to chromosome 19, where it resides within a apolipoprotein gene cluster. Alternative splicing and the use of alternative promoters results in multiple transcript variants. [provided by RefSeq, Sep 2016]","19q13.32","107710","ENSG00000130208","A0A024R0T8_HUMAN","341","110675"
"APOC3","HALP2; APOCIII","apolipoprotein C3","Apolipoprotein C-III is a very low density lipoprotein (VLDL) protein.  APOC3 inhibits lipoprotein lipase and hepatic lipase; it is thought to delay catabolism of triglyceride-rich particles.  The APOA1, APOC3 and APOA4 genes are closely linked in both rat and human genomes.  The A-I and A-IV genes are transcribed from the same strand, while the A-1 and C-III genes are convergently transcribed.  An increase in apoC-III levels induces the development of hypertriglyceridemia. [provided by RefSeq, Jul 2008]","11q23.3","107720","ENSG00000110245","A3KPE2_HUMAN","345","73849"
"APOE","AD2; LPG; APO-E; ApoE4; LDLCQ5","apolipoprotein E","The protein encoded by this gene is a major apoprotein of the chylomicron. It binds to a specific liver and peripheral cell receptor, and is essential for the normal catabolism of triglyceride-rich lipoprotein constituents. This gene maps to chromosome 19 in a cluster with the related apolipoprotein C1 and C2 genes. Mutations in this gene result in familial dysbetalipoproteinemia, or type III hyperlipoproteinemia (HLP III), in which increased plasma cholesterol and triglycerides are the consequence of impaired clearance of chylomicron and VLDL remnants. [provided by RefSeq, Jun 2016]","19q13.32","107741","ENSG00000130203","A0A0S2Z3D5_HUMAN","348","654439"
"APTX","AOA; AOA1; AXA1; EAOH; EOAHA; FHA-HIT","aprataxin","This gene encodes a member of the histidine triad (HIT) superfamily. The encoded protein may play a role in single-stranded DNA repair through its nucleotide-binding activity and its diadenosine polyphosphate hydrolase activity. Mutations in this gene have been associated with ataxia-ocular apraxia. Alternatively spliced transcript variants have been identified for this gene.[provided by RefSeq, Aug 2010]","9p21.1","606350","ENSG00000137074","APTX_HUMAN","54840","20158"
"ARNTL","TIC; JAP3; MOP3; BMAL1; PASD3; BMAL1c; bHLHe5","aryl hydrocarbon receptor nuclear translocator like","The protein encoded by this gene is a basic helix-loop-helix protein that forms a heterodimer with CLOCK. This heterodimer binds E-box enhancer elements upstream of Period (PER1, PER2, PER3) and Cryptochrome (CRY1, CRY2) genes and activates transcription of these genes. PER and CRY proteins heterodimerize and repress their own transcription by interacting in a feedback loop with CLOCK/ARNTL complexes. Defects in this gene have been linked to infertility, problems with gluconeogenesis and lipogenesis, and altered sleep patterns. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2014]","11p15.3","602550","ENSG00000133794","A0A140VKD3_HUMAN","406","65734"
"ART3","ARTC3","ADP-ribosyltransferase 3","This gene encodes an arginine-specific ADP-ribosyltransferase. The encoded protein catalyzes a reversible reaction which modifies proteins by the addition or removal of ADP-ribose to an arginine residue to regulate the function of the modified protein. An ADP-ribosyltransferase pseudogene is located on chromosome 11. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2011]","4q21.1","603086","ENSG00000156219","NAR3_HUMAN","419","24976"
